step,dry-monkey-1252,autumn-valley-1250,warm-silence-1248,eager-puddle-1246,still-shape-1243,trim-totem-1221,graceful-durian-1220,graceful-snow-1219,morning-planet-1217,fancy-night-1215,dry-serenity-972,twilight-thunder-971,floral-tree-969,swept-hill-968,rural-bird-966
0,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296,0.38672283308316296
200,0.38304560231701856,0.439465020583163,0.5220353330831631,0.39601236531823375,0.46913689558316296,0.399609551833163,0.384531426833163,0.396992364333163,0.390625176833163,0.393910333083163,0.41957830183316297,0.4674086720311308,0.39016423933316297,0.42757439558316296,0.41656462995816296
400,0.3742687621758742,0.44545525495816296,0.5160143184432339,0.4188443965682338,0.455287436001794,0.397968926833163,0.42993377058316296,0.405988458083163,0.40176580183316296,0.39031658308316297,0.398746270583163,0.4927289845311308,0.40261345808316296,0.423398614333163,0.397144256854387
600,0.33659833669201855,0.460447442458163,0.5143541621932338,0.43753970906823375,0.452885092251794,0.41078923933316297,0.42817986433316296,0.40512517683316296,0.398136895583163,0.391320489333163,0.40398845808316297,0.5128032032811308,0.400797051833163,0.4060082430986476,0.419208709979387
800,0.32984052419201854,0.46390447370816296,0.5078912715682338,0.4471529903182338,0.46775408308316296,0.412808770583163,0.423172051833163,0.400961114333163,0.39983611433316296,0.388980645583163,0.46864861433316296,0.5208461720311309,0.35127632926620156,0.41576402757683206,0.423607147479387
1000,0.32780732106701854,0.448103842251794,0.6529615840682338,0.4500709590682338,0.48302752058316295,0.412168145583163,0.417593926833163,0.401457208083163,0.39494158308316296,0.390765801833163,0.45458220808316296,0.5404360157811309,0.35675093864120155,0.41508434007683204,0.4368669131043869
1200,0.32125653981701857,0.40458079959004933,0.702801397768639,0.5305904903182338,0.48960564558316294,0.41213689558316297,0.41969158308316296,0.398215020583163,0.39153533308316296,0.388425958083163,0.468093926833163,0.587039239333163,0.33392867301620155,0.41137730882683204,0.4175544131043869
1400,0.32014716481701855,0.4058215216387369,0.7099654602686389,0.488349786208163,0.4682911924581629,0.402054864333163,0.420675958083163,0.392750176833163,0.395722833083163,0.37781658308316296,0.468910333083163,0.6136329893331631,0.33349681521504926,0.4210687150768321,0.409738006854387
1600,0.32032294606701855,0.41687720485497853,0.7622779602686389,0.508326348708163,0.425856622145663,0.40464861433316296,0.419660333083163,0.39381267683316296,0.39826580183316296,0.374777520583163,0.429000176833163,0.6247501768331631,0.3208171615888341,0.444406426833163,0.37940837995816296
1800,0.2897617051909889,0.425431817458163,0.7227310852686389,0.5258380674581631,0.425126153395663,0.40476580183316296,0.42094939558316297,0.39602361433316297,0.40113689558316296,0.366558770583163,0.41482048933316296,0.6302033018331631,0.3271818923549785,0.446590020583163,0.373672051833163
2000,0.27764236064773246,0.437728692458163,0.701645147768639,0.5331036924581631,0.432563653395663,0.402156426833163,0.422324395583163,0.39650017683316297,0.397121270583163,0.364476739333163,0.41211345808316296,0.6165292711670726,0.29716011203577775,0.443523614333163,0.36629509870816296
2200,0.28106300717897337,0.45531462995816296,0.7387193665186389,0.5363442189061309,0.4089977168807338,0.40155877058316297,0.413273614333163,0.390832208083163,0.39324627058316297,0.363300958083163,0.42890252058316297,0.6255014576820017,0.3045232884837881,0.4401838454799785,0.371216973708163
2400,0.26546925717897335,0.463861504958163,0.6846412415186389,0.4989575001561308,0.401997247145663,0.400750176833163,0.415000176833163,0.38624627058316297,0.38504705183316296,0.359086114333163,0.43300408308316296,0.6432797588407603,0.29670102285878813,0.4591760329799785,0.376531426833163
2600,0.2748242223201177,0.45518028551234413,0.6949879806956113,0.5051371876561308,0.396524590895663,0.40689470808316297,0.41041423933316296,0.394656426833163,0.38282830183316297,0.355644708083163,0.44529314558316296,0.6480844463407602,0.2925333366702584,0.45891814558316296,0.391226739333163
2800,0.2823901025889469,0.44514317613734417,0.7627614181956113,0.5165258595311308,0.40231755964566296,0.401668145583163,0.411550958083163,0.39172283308316297,0.383855645583163,0.353050958083163,0.426840020583163,0.6440063213407602,0.2859801953224988,0.4652980092419214,0.384636895583163
3000,0.2703808629451177,0.417562676833163,0.9157145431956113,0.5209476596343154,0.394071465895663,0.392996270583163,0.41592595808316296,0.387320489333163,0.38431658308316297,0.35368377058316297,0.42770330183316296,0.6538071025907602,0.2675641796974988,0.42838785299192134,0.36919409206082804
3200,0.26061719107011777,0.421199395583163,0.9241207931956114,0.5311017393331631,0.408419122145663,0.39001189558316296,0.42429705183316296,0.376953301833163,0.385820489333163,0.349468926833163,0.42089080183316296,0.6530571025907602,0.26129074219749887,0.419660333083163,0.4246416273268323
3400,0.2621152379451177,0.425578301833163,0.9066676681956113,0.5237814268331631,0.388176934645663,0.400863458083163,0.424601739333163,0.370488458083163,0.380582208083163,0.345558770583163,0.405047051833163,0.6088999700788172,0.25122334023125725,0.44172283308316296,0.37545998670183234
3600,0.21886914419511777,0.391136895583163,0.8692067306956113,0.5250470518331631,0.35916304172327773,0.401340020583163,0.417269708083163,0.37329314558316296,0.376730645583163,0.346000176833163,0.394959161208163,0.5384234075788172,0.24636154237118643,0.423722833083163,0.3647353773268323
3800,0.19823242544511777,0.38509587995816297,0.8845270431956114,0.5252111143331631,0.3630302292232777,0.40617205183316296,0.415347833083163,0.368113458083163,0.377679864333163,0.34639470808316297,0.37095916120816297,0.5563257513288172,0.24059982362118643,0.44888689558316297,0.3847158460768323
4000,0.18431055044511777,0.3750448776607777,0.8591481369456113,0.512781426833163,0.35246968234827775,0.39655877058316297,0.41000798933316296,0.365449395583163,0.374160333083163,0.34519548933316296,0.37712127058316297,0.5387085638288172,0.17163358281561925,0.46276580183316296,0.4048916273268323
4200,0.16446072002273251,0.3619530807857777,0.8443512619456113,0.466004083083163,0.3346477164138769,0.39358220808316297,0.411144708083163,0.36366814558316296,0.374929864333163,0.345433770583163,0.382074395583163,0.5248046090871115,0.14958770353186085,0.444439629958163,0.40071779920183237
4400,0.1775837668977325,0.37038884870816297,0.7744450119456112,0.436590020583163,0.33643091953887694,0.39367595808316297,0.410629083083163,0.362777520583163,0.36985173933316295,0.344398614333163,0.373297051833163,0.5422992269215624,0.1459466189346761,0.443881036208163,0.36969090668060833
4600,0.1618493918977325,0.38407244245816297,0.8794645431956112,0.378650567458163,0.33260496871126216,0.38978142683316297,0.41155486433316296,0.36384392683316297,0.36584392683316297,0.343761895583163,0.29479593541301713,0.5573636841956341,0.1361655444189108,0.446865411208163,0.3113600975502052
4800,0.15463845439773252,0.387330254958163,0.7593969308491673,0.39293614488734413,0.3634799687112622,0.391004083083163,0.40716033308316296,0.35805486433316297,0.366031426833163,0.339609551833163,0.2834912479130171,0.5407621517452289,0.12544484516514376,0.423095879958163,0.31437962880020526
5000,0.14839626689773253,0.359939629958163,0.7886859933491673,0.3663345823873441,0.3604897343362622,0.39416423933316297,0.40153533308316297,0.361254083083163,0.36355095808316296,0.33863689558316296,0.27487976999438607,0.43967618816424464,0.12013787497789985,0.378205254958163,0.34927806630020525
5200,0.14406128680649094,0.371617364333163,0.7740688058491674,0.35304930464876216,0.3409702030862622,0.394715020583163,0.390484551833163,0.356515801833163,0.360636895583163,0.33394158308316296,0.25151648874438615,0.4619427148299291,0.11713787497789988,0.380738458083163,0.31969212880020526
5400,0.1345429492951432,0.37331658308316296,0.7716547433491674,0.3223383671487622,0.3454262577737622,0.396281426833163,0.38641033308316297,0.35453142683316297,0.35883220808316296,0.330679864333163,0.24033806745816297,0.43833333982992917,0.09128513789298916,0.346574395583163,0.3294401756752052
5600,0.13378786846023252,0.358349786208163,0.7898617745991674,0.32088133589876217,0.30434061996436135,0.395168145583163,0.38539861433316297,0.34997283308316296,0.35903142683316297,0.329183770583163,0.22465837995816298,0.4358053212326411,0.08169648916861953,0.34096306745816296,0.3367878319252052
5800,0.11535300849645562,0.37731853620816297,0.6524129728792769,0.2873774296487622,0.2957331980893613,0.391625176833163,0.385429864333163,0.35174236433316297,0.35211345808316297,0.33025798933316297,0.20056831516077772,0.5935621788950095,0.08098675837523978,0.339668145583163,0.30597120462781996
6000,0.11884128974645561,0.35469548933316297,0.6256707853792769,0.25905907027376224,0.2770027293393613,0.38961736433316296,0.384527520583163,0.35039080183316296,0.354398614333163,0.325679864333163,0.177511895583163,0.5967809288950096,0.07715221177814449,0.33460590174522886,0.31624095692520526
6200,0.10977857257030331,0.31144744245816297,0.6264998677880353,0.23643016402376216,0.27609843246436133,0.38958220808316296,0.38171111433316296,0.348453301833163,0.352027520583163,0.324437676833163,0.16705877058316299,0.5752535851450096,0.0830330711531445,0.33176580183316295,0.27617259755020523
6400,0.09994106892581808,0.30473650495816296,0.6031131490380354,0.22201369716998615,0.29503788558936134,0.387660333083163,0.377617364333163,0.347086114333163,0.35233220808316296,0.324394708083163,0.15262322370816298,0.5620973351450096,0.08731083608232566,0.341506036208163,0.25751634755020525
6600,0.09469593258457648,0.30475994245816296,0.5861893209130353,0.21996108428356817,0.2769582810236221,0.389031426833163,0.373070489333163,0.341105645583163,0.35176580183316297,0.322636895583163,0.14707244245816298,0.5626793663950095,0.08191802404912268,0.331111504958163,0.26385619130020516
6800,0.08062551119803885,0.287340020583163,0.6055369771630353,0.22653725615856818,0.25336210433936135,0.387586114333163,0.37639861433316296,0.339117364333163,0.347980645583163,0.31846892683316297,0.14807048933316297,0.5343249800152489,0.08396565893849645,0.31474627058316296,0.27695342637102405
7000,0.07038234713553886,0.284035333083163,0.6024744771630354,0.21917149580239734,0.2658074168393613,0.38767595808316296,0.373507989333163,0.33651189558316297,0.34799627058316296,0.319273614333163,0.12148089427084854,0.5415908260626342,0.08591150343717352,0.30864470808316297,0.2554221763710241
7200,0.06465895452416572,0.284539239333163,0.5684510396630353,0.21091954267739735,0.24524686996436137,0.387750176833163,0.38216423933316296,0.337050958083163,0.34673064558316297,0.320996270583163,0.11086009259381635,0.47562207606263396,0.07696207251825105,0.262621270583163,0.24634795762102407
7400,0.05828328224800445,0.292654473708163,0.5210369771630353,0.16472032392739736,0.2415671824643614,0.388703301833163,0.377179864333163,0.337902520583163,0.34620720808316297,0.320379083083163,0.1042324396967755,0.48675488856263394,0.06644058814325103,0.22398301988734415,0.24862920762102408
7600,0.05948610755740526,0.286982598708163,0.48962564245689166,0.158247568279807,0.22772207872055972,0.383976739333163,0.37488689558316296,0.337715020583163,0.33838298933316296,0.317273614333163,0.09595588651754648,0.46892676356263396,0.06713973199643554,0.21776622301234413,0.2322073326210241
7800,0.05409949775846642,0.28929900495816296,0.46808267370689166,0.14016791133398815,0.19464029998243523,0.384218926833163,0.37565642683316297,0.335761895583163,0.34757830183316296,0.31676970808316296,0.1041258083925465,0.46263770106263385,0.06487215387143552,0.22314903551234413,0.21134795762102407
8000,0.05837879463346642,0.286935723708163,0.4363951737068917,0.12934369258398815,0.20187212247623684,0.385441583083163,0.374695489333163,0.335910333083163,0.351250176833163,0.315465020583163,0.0998163237282945,0.4426572623622288,0.06721885271267714,0.20818569365856815,0.20811162949602408
8200,0.05056917254650319,0.23331072370816297,0.32640103308189167,0.13740619258398815,0.21262602872623684,0.384879083083163,0.371449395583163,0.337019708083163,0.35117205183316297,0.31319158308316297,0.10619718310329451,0.40819674604141,0.06392363876470934,0.21296694365856814,0.2046448326210241
8400,0.049012249360032845,0.252152520583163,0.31200034276629246,0.12827516316451654,0.19520024747623685,0.385250176833163,0.373429864333163,0.33469548933316295,0.35290252058316296,0.311390801833163,0.10523819872829451,0.41904830854141,0.060721188019434165,0.21505092803356815,0.2014592857460241
8600,0.04628292121094014,0.20465252058316302,0.3238519052662925,0.12710171100409715,0.19900688810123685,0.384132989333163,0.36958611433316296,0.33470720808316295,0.353586114333163,0.310484551833163,0.10738004049192137,0.4173721061122288,0.06231493801943416,0.21444981676234415,0.19893194199602407
